Name,Website,Institution,Klassifikation,Kurz Beschreibung,Schlagwörter,Land,Sprache,Software / Modell / Format,Lizenz,Open access,Aktuell/gepflegt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz
FISH Archaeological Science Thesaurus ,https://collectionstrust.org.uk/resource/archaeological-sciences-thesaurus-fish/,Collection Trust,Vokabular,"Der Archaeological Science Thesaurus ist ein hierarchischer Thesaurus zur standardisierten Erfassung und Beschreibung von Techniken, methodischen Verfahren der Bergung und Materialien, die im Rahmen der archäologischen Wissenschaften verwendet werden. Der Thesaurus unterstützt die Strukturierung von Metadaten und Datenaufzeichnungen zur archaeometrischen und wissenschaftlichen Untersuchung im Kontext archäologischer Feldarbeit und Sammlungsdokumentation. ","Datenmanagment, Datenaustausch, archäologischer Kontext, Tool/Software, Technik/Technologie, Material, Methode, Kulturgut, Zustandbeschreibung",GBR,englisch,"PDF, RDF/SKOS, NTURTLE, JSON, XML, CSV",Open Government Licence v3,TRUE,TRUE,TRUE,TRUE
ARIADNE RI,https://www.ariadne-research-infrastructure.eu/ ,ARIADNE Research Infrastructure,Repositorium,"Online Datenaustauschplattform für Daten zu Fundplätzen, Denkmälern und Objekten. Dazu werden Mappingdienste (z.B. auf Getty AAT), Weiterbildungen im Forschungsdatenmanagement, 3D-Meshservices, Dendrodatenrepositorien und weiterführende Datenportale angeboten.","archäologischer Kontext, Architektur/Bauwerk, Datenaustausch, Datenmanagment, immobiles Kulturgut, Kulturgut, Tool/Software, Lehrmaterial",diverse,englisch,diverse,CC BY-NC 4.0,TRUE,TRUE,TRUE,TRUE
Art & Architecture Thesaurus,https://www.getty.edu/research/tools/vocabularies/aat/index.html,Getty Research Institute,Vokabular,"Referenzthesaurus mit breitem Inhaltsbereich zu Kunst, Architektur, Ethnologie, Kultur- und Technikgeschichte. Er enthält Fachbegriffe nicht nur für die Objektbezeichnungen, sondern auch für die physische Beschreibung von Objekten, wie Farbe, Materialien und Herstellungstechniken sowie die Zuordnung von Stilen und Perioden. Viele Begriffe decken auch Bereich der Konservierung/Restaurierung mit ab, aber u. U. nicht vollumfänglich","Analyse/Untersuchung, archäologischer Kontext, Architektur/Bauwerk, Chemie, Datierung, Farbstoffe/Pigmente, Fotografie, Gemälde, Glas, Grafikobjekt, Herstellung, Holz, immobiles Kulturgut, Kulturgut, Kunststoff, Leder, Malerei, Material, Metall, Methode, Objektbeschreibung, Objektlagerung, Objekttransport, Papier, Präventive Konservierung, Sammlungspflege, Schaden, Standard, Stein, Technik/Technologie, Textil, Wandmalerei, Zustandbeschreibung",USA,englisch,"JSON, RDF, N3/Turtle, N-Triples for GVP and Linked.Art, XML, Relational Tables, Web Services APIs",ODC-BY v1.0,TRUE,TRUE,TRUE,TRUE
Art & Architecture Thesaurus Deutsch,https://www.aat-deutsch.de/,"Institut für Museumsforschung, Staatliche Museen zu Berlin, Stiftung Preußischer Kulturbesitz",Vokabular,"Die deutsche Fassung des Art & Architecture Thesaurus (AAT). Solange ein Begriff noch in der Bearbeitung ist, wird die englische Bezeichnung angezeigt.","Analyse/Untersuchung, archäologischer Kontext, Architektur/Bauwerk, Chemie, Datierung, Farbstoffe/Pigmente, Fotografie, Gemälde, Glas, Grafikobjekt, Herstellung, Holz, immobiles Kulturgut, Kulturgut, Kunststoff, Leder, Malerei, Material, Metall, Methode, Objektbeschreibung, Objektlagerung, Objekttransport, Papier, Präventive Konservierung, Sammlungspflege, Schaden, Standard, Stein, Technik/Technologie, Textil, Wandmalerei, Zustandbeschreibung",DE,"deutsch, englisch","JSON, RDF, N3/Turtle, N-Triples for GVP and Linked.Art, XML, Relational Tables, Web Services APIs",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. ,TRUE,FALSE,TRUE,TRUE
Art Glass Terms,https://oceansidecompatible.com/pages/art-glass-terms,Oceanside Glasstile World Headquarters,Vokabular,"Glossar für Fachbegriffe zu Glas, Glasherstellung und -bearbeitung","Glas, Material, Technik/Technologie, Objektbeschreibung",USA,englisch,HTML,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2025, Oceanside Compatible®",TRUE,FALSE,TRUE,TRUE
Art terms,https://www.moma.org/collection/terms/,Museum of Modern Art,Vokabular,"Glossar von Begriffen zu Materialien, Techniken, Objekte, etc. im Kontext moderner Kunst","Material, Technik/Technologie, Objektbeschreibung, Architektur/Bauwerk, Medienobjekt, Malerei, Farbstoffe/Pigmente, Methode, Gemälde, Grafikobjekt",USA,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2025 The Museum of Modern Art,TRUE,FALSE,TRUE,TRUE
Asian Textile Database – Conservation & Art Materials Encyclopedia Online (CAMEO),https://cameo.mfa.org/wiki/Category:Asian_Textile_Database,"Museum of Fine Arts, Boston","Vokabular, Repositorium","Datenbank zu asiatischen Textilien, basierend auf der Sammlung des Smithsonian National Museum of Asian Art in Washington, DC. Die Datenbank enthält grundlegende technische Daten wie Mustertyp und -maße, Webstruktur, Fadenzahl und -drehung sowie hochauflösende Bilder, und ein Lexikon für die Standardterminologie.","Fachtext, Textil, Technik/Technologie, Material",USA,englisch,MediaWiki,GNU FDL,TRUE,TRUE,TRUE,FALSE
Atlas of degradation phenomena in plastics and rubbers,https://www.mdpi.com/2073-4360/14/1/121,Deutsches Bergbau-Museum Bochum,Fachdokumentation,"Ein Fachtext und visueller Leitfaden über die Analyse von Materialien zu Abbauphänomenen in historischen synthetischen Polymeren, als Werkzeuge zur Verfolgung von Alterungsprozessen in industriellen Kulturerbesammlungen. ","Schaden, Kunststoff, Zustandbeschreibung, Empfehlung/ Leitfaden, Analyse/Untersuchung",DE,englisch (deutsch),"PDF, HTML",CC-BY-4.0,TRUE,FALSE,TRUE,TRUE
AV Artifact Atlas,https://www.avartifactatlas.com/,Stanford Media Preservation Lab,"Fachdokumentation, Vokabular","Der AV Artifact Atlas (AVAA) ist ein online zugängliches, community‑basierendes Nachschlagewerk zur Identifikation und Beschreibung technischer Artefakte und Anomalien bei der Verwaltung von analogen und digitalen Audio- und Videomedien. Die Plattform enthält Beispiele für sichtbare und hörbare Fehlerbilder in Ton‑ und Bewegtbildaufnahmen, bietet eine gemeinsame Terminologie zur Beschreibung solcher Artefakte und richtet sich an Fachleute in der Medienarchivierung, -konservierung und -digitalisierung. Die Inhalte werden kollaborativ ergänzt, oft mit Visualisierungen, Definitionen und Kontext zur Ursache von Qualitätsproblemen bei der Erhaltung audiovisueller Bestände  ","Medienobjekt, Analyse/Untersuchung, Zustandbeschreibung, Fachtext, Empfehlung/ Leitfaden",USA,englisch,"GitHub, HTML",CC BY-NC-SA 3.0,TRUE,TRUE,TRUE,FALSE
Baden-Württemberg Grabungsrichtlinien,https://www.denkmalpflege-bw.de/geschichte-auftrag-struktur/archaeologische-denkmalpflege/firmenarchaeologie,Landesamt für Denkmalpflege im Regierungspräsidium Stuttgart,Fachdokumentation,"Institutionelle Informationsseite des Landesamt für Denkmalpflege Baden-Württemberg mit den Grabungsrichtlinien des Landes Baden-Württemberg, sowie zugehörige Vorgaben zur Datenstruktur, Vokabularen und Formularen.","archäologischer Kontext, Datenmanagment, Empfehlung/ Leitfaden, Fachtext, Methode, Standard, immobiles Kulturgut, Objektbeschreibung, Analyse/Untersuchung",DE,deutsch,"HTML, PDF, CSV",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Copyright Land Baden-Württemberg,TRUE,TRUE,TRUE,TRUE
Bamberger Vokabular für historische Architektur,https://hist-arch-vocab.org/,Kompetenzzentrum Denkmalwissenschaften und Denkmaltechnologien (KDWT) der Otto-Friedrich-Universität Bamberg,Vokabular,"Das Bamberger Vokabular für historische Architektur ist ein deutschsprachiger Normdatensatz für historische Bauforschung, Baugeschichte, Bauerhalt und Bauwerksrestaurierung. Er basiert auf dem Simple Knowledge Organization System (SKOS) und kontextualisiert neben kunsthistorisch orientierten, formalen und typologischen Begriffen reichhaltiges Wissen zu Baukonstruktion, Bautechnikgeschichte, Gebäudeausstattung, Zustandserfassung und Instandsetzung. Neben deutschen bevorzugten und alternativen Bezeichnungen sind den Begriffskonzepten vielfach auch Entsprechungen in Englisch, Französisch, Italienisch, Spanisch und Tschechisch zugeordnet.","Architektur/Bauwerk, Datenmodell, Kulturgut, immobiles Kulturgut, Material, Methode, Technik/Technologie, Zustandbeschreibung, Schaden, Tool/Software, Stein, Präventive Konservierung, Objektbeschreibung, Herstellung",DE,"deutsch, englisch, französisch, italienisch, spanisch, tschechisch","SKOS, SPARQL",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,TRUE,TRUE,TRUE
Basic Formal Ontology (BFO),https://basic-formal-ontology.org/,BFO Discussion Group,Ontologie,"Die Basic Formal Ontology (BFO) ist eine kleine Upper-Level-Ontologie, die zur Unterstützung von Informationsabruf, -analyse und -integration in wissenschaftlichen und anderen Bereichen entwickelt wurde. Sie enthält Oberbegriffe und Relationen, die allen wissenschaftlichen Fachrichtungen gemein sind (z.B. Objekte, Prozesse).","Datenmanagment, Datenmodell, Tool/Software",diverse,englisch,"OWL, RDF/XML",CC-BY-4.0,TRUE,TRUE,TRUE,TRUE
"Empfehlungen zu
Basisanforderungen digitaler Archivierung
in der Bodendenkmalpflege",https://www.landesarchaeologien.de/fileadmin/mediamanager/004-Kommissionen/Archaeologie-und-Informationssysteme/Archivierung/Archivierung_Basisanforderungen_v1-00.pdf,Kommission Archäologie und Informationssysteme im Verband der Landesarchäologien in der Bundesrepublik Deutschland e. V.,Fachdokumentation,"Leitfaden für realitätsnahe Basisanforderungen an die Archivierung digitaler Daten in der Bodendenkmalpflege, gedacht für kleinere Institutionen mit begrenzten Ressourcen.","archäologischer Kontext, Datenmanagment, Empfehlung/ Leitfaden",DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,TRUE,FALSE,TRUE
Beilstein Handbook of Organic Chemistry - Beilstein German to English and English to German Dictionary,https://web.stanford.edu/group/swain/beilstein/index.html,Stanford University,Vokabular,Deutsch-Englisch Wörterbuch für Begriffe aus dem Beilstein Handbuch der organischen Chemie.,Chemie,USA,"deutsch, englisch",HTML,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Stanford University, Stanford, California",TRUE,FALSE,TRUE,FALSE
Bibliographic Database of the Conservation Information Network (BCIN),https://bcin.info/vufind/,"Canadian Conservation Institute Library (CCI), Getty Conservation Institute (GCI), International Centre for the Study of
the Preservation and Restoration of Cultural Property (ICCROM), International Council on Monuments
and Sites (ICOMOS), Library and Archives Canada (LAC), Smithsonian Museum Center Library
(MCI)   ","Repositorium, Anwendung/Software",Online-Rechercheportal für die Suche nach bibliographischen Nachweisen zu Themen der Konservierung-Restaurierung,"Fachtext, Datenaustausch, Metadaten, Tool/Software, Kulturgut, Präventive Konservierung, Schaden, Analyse/Untersuchung, Material, Objektbeschreibung, Herstellung",diverse,"deutsch, englisch",HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,TRUE,TRUE,FALSE
Bildindex der Kunst und Architektur,https://www.bildindex.de/,Philipps-Universität Marburg - Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg,Repositorium,"Online-Portal für die digitale Bereitstellung von Bild- und Datenbeständen zu Kunst und Architektur. Die Plattform ermöglicht einen integrierten digitalen Zugang zu seltenen Sammlungsbeständen aus 80 Kultur- und Wissenschaftseinrichtungen (Museen, Bibliotheken, Universitäts- und Forschungsinstitutionen, etc.)","Medienobjekt, Kulturgut, Architektur/Bauwerk, Gemälde, Wandmalerei, Grafikobjekt, Objektbeschreibung, Metadaten, Material","DE, CH, IT, POL",deutsch,HTML,"Verschiedene, viele PDM 1.0 oder CC By-SA 4.0",TRUE,TRUE,TRUE,TRUE
British Museum Materials thesaurus,https://collectionstrust.org.uk/resource/materials-thesaurus-british-museum/,The British Museum,Vokabular,Hierarchisch strukturierter Materialthesaurus auf Basis der Objekte im British Museum (London).,"Material, Stein, Mineral, Glas, Keramik, Leder, Papier, Metall, Kunststoff, Textil",GBR,englisch,HTML,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Trustees of The British Museum, 1997",TRUE,FALSE,TRUE,FALSE
A Glossary of Stained Glass Terms,https://boppardconservationproject.wordpress.com/about/a-glossary-of-stained-glass-terms/,Glasgow Museums,Vokabular,"Ein Glossar mit Begriffen zum Thema Glasmalerei, erstellt im Rahmen des Boppard Conservation Project.","Glas, Malerei, Zustandbeschreibung, Schaden, Methode, Technik/Technologie",SCO,englisch,WordPress,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,FALSE,TRUE,FALSE
FISH Building Material Thesaurus,https://collectionstrust.org.uk/resource/building-materials-thesaurus-fish/,Collections Trust,Vokabular,"Hierarchischer Thesaurus zur standardisierten Beschreibung von Baustoffen und Materialarten von Dekmälern, Gebäuden und Bauwerken im Kontext des gebauten und immobilen Kulturerbes der Britischen Inseln.","Material, Architektur/Bauwerk, archäologischer Kontext, Stein, Metall, Textil, Holz, Technik/Technologie, Kunststoff, Tool/Software, Leder, Mineral",GBR,englisch,"PDF, RDF/SKOS, NTURTLE, JSON, XML, CSV",CC-BY-3.0,TRUE,FALSE,TRUE,FALSE
Built Cultural Heritage Ontology (BCHO),https://github.com/BCHOntology/BCHOntology,Katholische Universität Leuven ,Ontologie,"semantisches Datenmodell für die Integration und den Austausch von heterogenen Informationen mit Bezug zu Baudenkmälern und deren präventiver Konservierung. Entwickelt und evaluiert im Kontext ecuadorianischer Denkmäler. Die Ontologie nutzt die Ontologien CityGML, MONDIS und CIDOC CRM nach.","Architektur/Bauwerk, Präventive Konservierung, Datenmodell, Datenaustausch, Datenintegration, immobiles Kulturgut, Objektbeschreibung",BEL,englisch,Protégé/OWL,CC-BY 4.0 International,TRUE,?,TRUE,TRUE
Cameo Materials database – Conservation & Art Materials Encyclopedia Online (CAMEO),https://cameo.mfa.org/wiki/Category:Materials_database,"Museum of Fine Arts, Boston","Vokabular, Fachdokumentation","Vokabular mit vielfältigen Informationen zu historischen und zeitgenössischen Materialien, die bei der Herstellung und Konservierung-Restaurierung kunsthandwerklicher, architektonischer, archäologischer und anthropologischer Kulturgüter verwendet werden. ","archäologischer Kontext, Architektur/Bauwerk, Chemie, Fachtext, Material, Metall, Holz, Stein, Textil, Analyse/Untersuchung, Kunststoff, Glas, Farbstoffe/Pigmente, Herstellung, Keramik, Leder, Mineral, Papier",USA,englisch,MediaWiki,GNU FDL,TRUE,FALSE,TRUE,FALSE
Categories for the Description of Works of Art (CDWA),https://www.getty.edu/research/publications/electronic_publications/cdwa/index.html,Getty Research Institute,"Datenschema, Fachdokumentation","Leitlinien zur systematischen Erfassung, Beschreibung und Katalogisierung von Kunstwerken, Architektur, anderen materiellen Kulturgütern, Sammlungen sowie zugehörigen Bildern. CDWA ist in sich kein Datenmodell, sondern bietet ein konzeptionelles Framework mit standardisierten Kategorien und Datenfeldern, die eine vergleichbare Dokumentation, den Datenaustausch und die Interoperabilität zwischen unterschiedlichen Sammlungs- und Informationssystemen ermöglicht.","Objektbeschreibung, Standard, Metadaten, Datenmanagment, Datenaustausch, Datenintegration, Fachtext, Empfehlung/ Leitfaden",USA,englisch,"HTML, CIDOC CRM, LIDO, XML",CC BY 4.0,TRUE,TRUE,TRUE,FALSE
Cocoda ,https://coli-conc.gbv.de/de/cocoda/,Verbundzentrale Göttingen (VZG),Anwendung/Software,Web-Anwendung für die Erstellung und Bewertung von Mappings zwischen unterschiedlichen Vokabularen,"Tool/Software, Datenaustausch, Datenintegration, Datenmanagment",DE,"deutsch, englisch","HTML, API, JSKOS, CSV, JSON",MIT License,TRUE,TRUE,TRUE,TRUE
Comité International pour la DOCumentation - Conceptual Reference Model (CIDOC CRM),https://cidoc-crm.org/,ICOM - International Council of Museums; CIDOC CRM Special Interest Group (SIG),Ontologie,"Internationale Referenz‑Ontologie und ISO‑Standard (ISO 21127) zur modellbasierten, semantischen Beschreibung und Integration von Informationen aus dem Bereich des kulturellen Erbes. Das CIDOC CRM stellt ein komplexes Model mit definierten Konzepten und Beziehungen bereit, das es ermöglicht, heterogene Informationen aus Museen, Bibliotheken, Archiven und anderen Institutionen interoperabel zu verknüpfen. ","archäologischer Kontext, Datenmodell, Datenmanagment, Datenintegration, Datenaustausch, Architektur/Bauwerk, immobiles Kulturgut, Kulturgut",diverse,englisch,"XML, RDF, JSON-LD, PDF, HTML",CC BY 4.0,TRUE,TRUE,TRUE,TRUE
FISH Components Thesaurus,https://collectionstrust.org.uk/resource/components-thesaurus-fish/,Collections Trust,Vokabular,"Hierarschicher Thesaurus für die standardisierte Bechreibung von Bauelementen, Raumeinheiten, Dekorelementen und Techniken von Gebäuden und Denkmälern.","Architektur/Bauwerk, Technik/Technologie, Tool/Software, Objektbeschreibung, immobiles Kulturgut",GBR,englisch,"PDF, RDF/SKOS, NTRIPLE, TURTLE, JSON, XML, CSV",OGLv3.0 = CC BY 4.0,TRUE,TRUE,TRUE,TRUE
Conceptual Reference Model of French National Library (CRMBnF),"https://www.bnf.fr/en/ra2018-introduction  (nicht mehr erreichbar);
https://doi.org/10.1007/978-3-030-75018-3_15  ","French National Library (BnF), 
Heritage Sciences Foundation",Ontologie,"semantisches Datenmodell des DALGOCOL-Projektes an der Französischen Nationalbibliothek (BnF), mit welchem die Restaurierungsgeschichte von Papier-Dokumenten als Reihe von Events (Conservation Trajectories) mit einheitlichen Vokabularen repräsentiert werden kann. Auf diese Weise soll ein System geschaffen werden, mit dessen Hilfe zuverlässige Vorhersagen über den physischen Zustand der Papiere getroffen werden kann. Die Projektseite ist jedoch nicht mehr erreichbar und das Vorhaben lediglich durch textliche Artikel nachverfolgbar.","Papier, Datenmodell, Zustandbeschreibung",FR,englisch,keine Angaben,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,FALSE,FALSE,TRUE,FALSE
Condition Reporting – Paintings. Part III: Glossary – Canadian Conservation Institute (CCI) Notes 10/11,https://www.canada.ca/en/conservation-institute/services/conservation-preservation-publications/canadian-conservation-institute-notes/condition-reporting-paintings-glossary.html,Canadian Conservation Institute,Vokabular,Glossar für die Zustandsbeschreibung von Gemälden mit englischen und französischen Bezeichnungen. ,"Gemälde, Zustandbeschreibung, Schaden, Material, Technik/Technologie",CAN,"englisch, französisch",HTML,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Government of Canada, Canadian Conservation Institute, 2017",TRUE,FALSE,TRUE,FALSE
Connecting Archaeology and Architecture in Europe (CARARE),https://www.carare.eu/en/services/,CARARE - Association,"Repositorium, Anwendung/Software","Eine europäische Nicht‑Profit‑Organisation und Netzwerkplattform, die Institutionen aus dem Bereich des digitalen archäologischen und architekturbezogenen Kulturerbes beim Teilen, Aggregieren und Publizieren ihrer digitalen Sammlungs‑ und Metadaten unterstützt. CARARE bietet technische Dienstleistungen, Beratung und Unterstützung zur Datenvermittlung an internationale Aggregationsplattformen wie Europeana und fördert Standards, Best‑Practices und interoperable Datenmodelle.","Datenintegration, archäologischer Kontext, Datenaustausch, Datenmanagment, Metadaten, Tool/Software, Architektur/Bauwerk",diverse,englisch,"CARARE, LIDO, EDM, XML",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © CARARE,TRUE,TRUE,FALSE,TRUE
Conservation space,https://de.museumspace.com/conservationspace/,Sirma Group,Anwendung/Software,"Kostenpflichtige, webbasierte Software zur Dokumentation, Verwaltung und Zusammenarbeit in der Konservierung-Restaurierung für Museen, Galerien und ähnliche Institutionen. Sie ermöglicht als Modul das Speichern von Daten und Bildern zu Objekten, die Erstellung und Annotation von Berichten, die Bild‑Analyse sowie die zentrale Organisation von Objektinformationen und Workflows innerhalb des Museumsmanagementsystems Museum Space.","Datenmodell, Datenmanagment, Datenaustausch, Datenintegration, Tool/Software","USA, GBR","deutsch, englisch",Sirmas Enterprise Platform (SEP),Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. Software kostenpflichtig. © Sirma Group 2018,FALSE,TRUE,TRUE,FALSE
